	KMV_361_S1	KMV_362_S2	KMV_364_S3	KMV_365_S4	KMV_366_S5	KMV_367_S6	KMV_370_S7	KMV_372_S8	KMV_373_S9	KMV_374_S10	KMV_375_S11	KMV_377_S12	KMV_378_S13	KMV_380_S14	KMV_381_S15	KMV_382_S16	KMV_383_S17	KMV_384_S18	KMV_386_S19	KMV_388_S20	KMV_389_S21	KMV_390_S22	KMV_391_S23	KMV_392_S24	KMV_393_S25	KMV_394_S26	KMV_395_S27	KMV_400_S28	KMV_401_S29	KMV_402_S30	KMV_403_S31	KMV_404_S32	KMV_405_S33	KMV_406_S34	KMV_408_S35	KMV_409_S36	KMV_411_S37	KMV_413_S38	KMV_415_S39	KMV_416_S40	KMV_417_S41	KMV_418_S42	KMV_419_S43	KMV_421_S44	KMV_423_S45	KMV_424_S46	KMV_425_S47	KMV_427_S48	KMV_428_S49	KMV_429_S50	KMV_433_S51	KMV_435_S52	KMV_436_S53	KMV_438_S54	KMV_439_S55	KMV_440_S56	KMV_443_S57	KMV_444_S58	KMV_445_S59	KMV_446_S60	KMV_448_S61	KMV_449_S62	KMV_450_S63	KMV_452_S64	KMV_453_S65	KMV_454_S66	KMV_456_S67	KMV_457_S68	KMV_459_S69	KMV_460_S70
Faecalibacterium_prausnitzii	2749998	2141870	9315038	5384685	8259811	5005614	2193467	4461800	5141664	9354080	1390164	1788759	5721013	3419291	3752591	275651	4082820	3543608	5932936	5059197	5050127	3897371	13335786	5926641	2938452	2636971	3711982	4233476	5094601	2258451	4842783	4331010	3100670	2038751	2796914	6066362	4518408	5949391	1028085	3185960	5841731	1592965	8392575	1581112	4822341	2014338	11023575	4158376	4159718	5399708	1774827	3528365	4311798	4217591	1724348	6875516	6146303	6822421	6083368	9210307	5507732	4904320	6938538	6660896	5103177	9167143	3147604	1513241	3618242	2914720
Blautia_wexlerae	2148945	2738525	4569332	3571791	3417419	1798899	5797434	3886290	2272234	1143138	3463529	1954822	2004840	1763780	5205473	8229140	1624099	1576211	1899867	3807796	1395110	2287373	5692540	2394332	1843653	2414128	1342276	3613364	3036334	2257057	928147	1073789	1949325	879844	7795869	1583692	5365993	2481848	1184320	1588568	1488792	4268565	2272355	2053068	3368479	1488847	5502066	3317981	1231608	1659603	3487742	278179	4386486	4916252	360425	1045736	3080901	2390818	2151498	1243850	3798936	931649	4411823	1960032	1407931	952115	4265165	6967134	2116377	3576383
Prevotella_copri	3715964	171975	1577736	1905478	256560	6561322	3188658	4098354	10845846	1036689	904168	760935	8463754	973941	246547	201103	4234447	2012970	3059188	1036884	1400535	683411	902027	8235232	1868571	871394	7118324	1667469	6034587	2418463	662977	5339297	6375969	9950360	183259	1849549	3848629	2513597	3312045	6912425	3114369	182180	2085892	1520579	1596577	1034188	873713	4746474	5135530	2261922	1355208	27470	875151	1585480	7980619	3138207	6785186	4991353	4264860	3893573	1144177	6136697	2516587	1443752	3246771	2870639	307599	286731	5172130	5160230
Dorea_longicatena	1188110	1917664	4971685	3496325	644240	1806851	1916520	1519554	1246824	1541429	1251633	2288208	781941	1406929	3625460	1270297	838407	837862	1920785	1360285	1608584	2011129	2497409	3206376	972585	3856946	1775652	3125522	2088242	1633378	2127737	1582931	838127	1779060	1565177	2369146	1561419	4487306	650834	1940059	2134087	1225882	2088083	1500618	1922737	1948845	1675772	2400625	1188305	1106092	5951339	918061	2132445	1392221	644942	1255197	2146493	1490806	1189004	2958982	2370349	1130044	1105176	1806239	1159384	2166600	2042303	395557	1728932	1498735
Collinsella_aerofaciens	661994	1260049	1754616	1015504	656804	1520780	2409193	872791	999295	774894	715260	1039257	722489	1938200	589544	446690	493294	508930	2709952	1102772	1490693	1183644	6014973	1291981	760624	449673	921199	489892	2180927	869727	1930278	2022988	947969	636942	1863228	370795	2239491	1120847	2926618	365230	2208618	2093548	2484031	697087	1321935	1184767	3243047	414327	2076113	2327704	4650833	48791	1110789	2512622	1843887	1216982	1585383	578572	1458462	586799	1316905	1571622	1267134	1351224	594418	2261845	908903	1146621	1162262	1032050
Blautia_obeum	978579	1844674	3029733	1282564	2180459	1395214	923348	2920525	872555	2650136	835020	1228506	1154353	1025362	1193113	829190	524897	427590	553915	610459	1799236	1677541	1012222	822409	1326985	878889	1005698	1253406	907126	1188565	899267	499881	673453	1701993	976141	1247539	2845644	964747	1039478	2312215	1371725	1262404	491690	1580060	1076123	1135329	1570527	2426005	602993	916525	1147146	1075445	1370998	829527	504249	1395689	874248	1221262	4381791	3898389	1492283	4247651	1950445	1105526	1075389	1465693	2492002	799046	1317613	584026
[Ruminococcus]_torques	407784	446757	1122707	1016728	1943772	1262333	819860	1668398	1137443	1768504	706089	612516	752379	1501067	3887085	1324833	579676	818075	2595337	808846	316065	1285166	10500942	771356	1117868	4733165	4501364	950915	602441	201218	976471	1074819	655709	637054	3277856	839522	2788134	1518063	915910	419203	683075	3615104	2105004	207801	340010	555455	4048947	1830453	738683	503645	1050893	18512758	815737	158322	84657	620184	1241610	1217997	1771582	711745	591430	286463	711514	1189382	887496	1031941	1992787	1218639	1207255	489134
Anaerobutyricum_hallii	684997	743798	1005267	587132	1001410	890705	1111824	927986	442179	782603	886831	1480651	1213984	658164	1832146	725920	871858	506763	448083	901302	1123557	1143137	1477771	852976	705285	876558	440605	963258	1401766	1118263	1322780	434621	558195	557889	1319395	607547	976294	2863987	599690	439234	593974	2139924	795724	932113	281870	617187	1482056	740976	691786	1072860	1372679	7644468	1390869	832093	194104	1176116	708253	1096984	685268	1520452	917571	118874	450975	1538194	784942	1256610	923383	1260424	915823	1421033
Blautia_sp._SC05B48	204685	714103	540053	557360	328142	559267	642707	1288843	225771	711097	173033	554823	463669	247649	559330	872177	447921	301430	1251883	686191	352934	767915	786442	983277	315430	788464	508425	2628545	788279	578332	219655	136345	159863	574690	837025	589027	1682258	565756	221336	319953	374147	1469903	268048	1198395	445626	682112	4429568	1018579	325708	363403	714945	278717	525229	409275	563750	467917	305262	316328	491400	1543651	463002	140272	468053	5389449	591447	239529	1852353	794231	297101	268859
Dorea_formicigenerans	279142	307165	480399	732494	723339	453485	562735	213052	143142	718057	613788	392216	303624	293368	764811	313902	121715	188421	615678	254440	291976	615221	1125461	403561	121401	1319147	346748	547666	311517	281576	527725	143345	169122	200265	757128	345243	581848	983717	217286	284006	298933	546301	760342	686787	654547	544878	748077	709220	248203	221910	603890	3085998	769245	498404	399353	474812	450522	373930	393970	819064	298555	322251	358516	494763	354949	404486	692356	487888	355834	306944
