	KMV_361_S1	KMV_362_S2	KMV_364_S3	KMV_365_S4	KMV_366_S5	KMV_367_S6	KMV_370_S7	KMV_372_S8	KMV_373_S9	KMV_374_S10	KMV_375_S11	KMV_377_S12	KMV_378_S13	KMV_380_S14	KMV_381_S15	KMV_382_S16	KMV_383_S17	KMV_384_S18	KMV_386_S19	KMV_388_S20	KMV_389_S21	KMV_390_S22	KMV_391_S23	KMV_392_S24	KMV_393_S25	KMV_394_S26	KMV_395_S27	KMV_400_S28	KMV_401_S29	KMV_402_S30	KMV_403_S31	KMV_404_S32	KMV_405_S33	KMV_406_S34	KMV_408_S35	KMV_409_S36	KMV_411_S37	KMV_413_S38	KMV_415_S39	KMV_416_S40	KMV_417_S41	KMV_418_S42	KMV_419_S43	KMV_421_S44	KMV_423_S45	KMV_424_S46	KMV_425_S47	KMV_427_S48	KMV_428_S49	KMV_429_S50	KMV_433_S51	KMV_435_S52	KMV_436_S53	KMV_438_S54	KMV_439_S55	KMV_440_S56	KMV_443_S57	KMV_444_S58	KMV_445_S59	KMV_446_S60	KMV_448_S61	KMV_449_S62	KMV_450_S63	KMV_452_S64	KMV_453_S65	KMV_454_S66	KMV_456_S67	KMV_457_S68	KMV_459_S69	KMV_460_S70
Faecalibacterium_prausnitzii	3290784.925	2233303.063	7735878.818	3911157.82	9351034.73	4740987.627	1767706.38	4220299.207	7087895.279	8914905.363	1870422.014	1596521.625	6930681.396	3968547.22	3576285.596	399863.6515	4466462.295	3745730.261	5773350.616	6093734.202	4934027.316	2818910.704	12076432.71	6254957.243	3058523.618	2048273.268	5741287.225	3030673.657	5333236.757	2927250.772	4669372.698	6216593.574	4478107.96	3178166.443	2559906.286	5424831.526	3906247.078	4460005.561	1633830.198	4109763.554	4877442.415	1436197.914	8326168.468	1437432.019	4318766.246	1730727.18	10679533.19	3877118.939	4903456.873	4377110.098	1513170.897	5211455.96	3196085.607	3722330.812	2217880.053	4912460.328	5769544.501	6042893.746	5669403.288	13296892.58	4887279.267	6480096.516	5992609.448	8577513.493	4444541.691	8799992.511	3924194.705	1685810.842	2646272.255	2624740.915
Blautia_wexlerae	2571534.892	2855428.327	3794702.569	2594365	3868902.54	1703798.555	4672129.131	3675939.443	3132323.824	1089467.6	4660069.524	1744737.886	2428749.47	2047103.98	4960907.839	11937319.18	1776707.508	1666115.79	1848763.97	4586438.662	1363037.177	1654423.003	5154969.961	2526970.047	1918988.72	1875179.457	2076085.512	2586745.995	3178558.654	2925443.964	894911.9259	1541282.472	2815290.824	1371570.474	7135254.805	1416213.258	4638999.948	1860535.957	1882118.483	2049190.47	1243038.621	3848486.406	2254374.915	1866500.083	3016724.326	1279223.234	5330348.498	3093565.126	1451813.972	1345307.015	2973557.249	410875.1809	3251447.487	4338949.959	463583.5794	747163.793	2892046.719	2117644.036	2005091.56	1795742.513	3370981.222	1230991.338	3810360.654	2524014.926	1226218.104	913982.1283	5317485.271	7761665.218	1547853.83	3220576.518
Prevotella_copri	4446708.075	179316.3424	1310265.67	1384041.069	290454.7659	6214451.697	2569726.871	3876525.2	14951233.82	988016.387	1216529.655	679157.5516	10253355.9	1130389.56	234963.6517	291723.1569	4632336.931	2127786.89	2976901.306	1248912.722	1368337.459	494301.0514	816844.8688	8691436.523	1944924.925	676857.2868	11009843.97	1193712.772	6317252.559	3134647.457	639237.1294	7663856.565	9208421.9	15511408.82	167729.8144	1653955.324	3327210.775	1884336.833	5263493.912	8916757.377	2600283.282	164251.2773	2069387.309	1382399.818	1429853.852	888578.4217	846444.7313	4425440.181	6053739.671	1833558.709	1155414.756	40573.66379	648698.6439	1399301.415	10264781.64	2242205.151	6369265	4421042.886	3974642.222	5621139.658	1015284.064	8108440.895	2173501.541	1859179.645	2827730.465	2755667.9	383491.1784	319429.7726	3782738.722	4646850.062
Dorea_longicatena	1421751.753	1999526.062	4128845.495	2539550.385	729352.1141	1711330.165	1544515.888	1437306.141	1718773.911	1469058.813	1684032.903	2042294.996	947276.9842	1632930.386	3455127.504	1842712.695	917187.9372	885652.4334	1869119.314	1638444.842	1571603.525	1454619.81	2261568.364	3383998.59	1012326.964	2995891.646	2746384.046	2237508.182	2186057.16	2117073.61	2051547.025	2272088.654	1210455.544	2773339.555	1432545.456	2118603.854	1349875.533	3363942.58	1034303.82	2502600.086	1781815.433	1105240.335	2071560.973	1364252.729	1721954.473	1674455.335	1623471.758	2238255.668	1400768.59	896620.0511	5073955.363	1355991.931	1580657.715	1228736.292	829533.2479	896820.7574	2014916.428	1320467.068	1108093.935	4271873.436	2103326.292	1493131.4	954507.7276	2325969.268	1009749.52	2079826.155	2546188.98	440666.2781	1264488.33	1349629.15
Collinsella_aerofaciens	792175.0763	1313838.511	1457159.568	737609.7973	743575.9747	1440382.571	1941559.11	825550.0393	1377549.819	738512.6785	962359.8727	927568.3726	875254.2724	2249541.856	561845.8594	647975.4998	539646.3845	537958.6291	2637059.131	1328273.924	1456422.775	856112.1692	5446954.283	1363552.46	791704.7712	349284.5334	1424809.724	350705.3729	2283083.61	1127281.058	1861158.634	2903732.432	1369093.623	992915.6087	1705339.91	331582.653	1936081.287	840251.3556	4650974.255	471132.388	1844043.677	1887517.472	2464376.021	633740.7935	1183891.445	1017956.494	3141832.669	386303.4652	2447312.669	1886882.899	3965178.096	72065.14852	823363.4172	2217571.663	2371632.755	869516.6726	1488201.569	512464.5812	1359215.694	847159.9557	1168554.044	2076590.077	1094386.048	1740027.482	517700.1665	2171256.526	1133151.546	1277381.536	850043.1104	929373.6144
Blautia_obeum	1171016.496	1923420.233	2516108.613	931588.4251	2468524.744	1321454.733	744122.5013	2762447.743	1202835.982	2525711.95	1123493.193	1096478.841	1398432.911	1190070.548	1137057.792	1202835.982	574218.9613	451979.1135	539015.6757	735289.5898	1757872.539	1213340.552	916633.7003	867967.7293	1381208.528	682679.0453	1555503.523	897292.0942	949616.6092	1540537.215	867066.0606	717513.2388	972626.9613	2653201.415	893423.7814	1115609.141	2460111.738	723229.8204	1651935.926	2982666.743	1145295.752	1138168.128	487799.4863	1436475.617	963748.4551	975479.1691	1521511.417	2261919.06	710805.4369	742953.2917	978026.5583	1588450.814	1016241.247	732117.9107	648571.9813	997200.3327	820658.0022	1081721.064	4083616.231	5628092.503	1324175.498	5612437.289	1684541.489	1423631.923	936595.2316	1406990.97	3106839.695	890169.1206	963662.1113	525922.5372
[Ruminococcus]_torques	487974.6966	465828.354	932376.7976	738498.8478	2200568.449	1195598.609	660721.9314	1578093.764	1567989.832	1685472.627	950020.5801	546689.0955	911464.305	1742190.2	3704460.757	1921823.469	634145.2715	864736.8116	2525527.069	974244.0419	308798.8369	929541.5277	9509294.722	814086.5625	1163546.547	3676496.763	6962216.85	680743.9184	630659.8859	260805.103	941505.5409	1542760.901	947000.3879	993090.2032	3000093.739	750740.792	2410393.282	1138027.308	1455561.959	540755.443	570320.5056	3259333.898	2088348.085	188917.5535	304504.3292	477249.1338	3922580.82	1706647.978	870756.1987	408264.5979	895963.7779	27343662.86	604658.494	139730.6801	108886.9948	443112.8218	1165501.302	1078829.121	1651028.314	1027544.121	524804.6885	378504.6425	614513.5357	1531616.791	772952.4123	990611.0412	2484456.175	1357612.462	882949.6235	440471.1337
Anaerobutyricum_hallii	819701.6147	775549.5674	834846.1586	426462.4418	1133708.712	843617.0636	896014.5642	877757.5373	609553.3366	745859.7405	1193203.266	1321525.896	1470672.471	763887.8682	1746067.544	1053030.905	953782.1613	535668.0266	436030.3675	1085606.041	1097727.033	826814.0562	1338218.987	900228.0397	734104.4978	680868.4357	681479.5594	689580.0627	1467425.998	1449416.538	1275413.913	623841.1169	806166.8842	869681.5347	1207590.778	543297.6336	844024.175	2147009.323	953025.8991	566594.648	495927.3169	1929329.511	789427.807	847409.3367	252435.6203	530289.5125	1435801.565	690859.1438	815474.226	869681.5347	1170310.072	11291011.08	1030970.466	734382.5924	249659.2276	840318.4853	664838.229	971643.0213	638636.4679	2195071.991	814205.5068	157068.6646	389493.7299	1980796.546	683634.4191	1206281.891	1151204.116	1404162.618	669805.1141	1279657.551
Blautia_sp._SC05B48	244936.2917	744586.9345	448498.9286	404837.5945	371493.6381	529700.8373	517955.0293	1219082.678	311230.2175	677710.9516	232810.4687	495196.3443	561708.5841	287429.982	533051.383	1265193.596	490009.9093	318623.1301	1218209.583	826507.7572	344820.2385	555421.5426	712175.0372	1037747.283	328319.1642	612441.2192	786376.1078	1881730.778	825202.7073	749594.6528	211789.597	195705.2629	230880.3494	895872.2634	766096.333	526736.1624	1454343.078	424123.2264	351746.6364	412726.8322	312386.9358	1325246.708	265927.0612	1089493.561	399091.339	586073.3294	4291322.775	949686.111	383943.1258	294581.6591	609543.3343	411669.8162	389321.7742	361214.9549	725102.9837	334320.1731	286549.9299	280184.4818	457960.915	2228564.317	410844.2595	185341.9227	404243.4919	6940218.181	515112.615	229935.696	2309373.68	884805.0185	217290.6437	242110.8092
Dorea_formicigenerans	334035.2558	320277.391	398957.9482	532045.911	818901.0754	429511.0997	453505.9108	201520.2803	197324.3499	684344.1792	825832.4827	350064.6682	367823.1824	340493.0323	728878.4104	455351.1504	133151.9534	199168.2606	599117.3612	306469.5307	285263.6299	444980.2346	1019179.074	425916.9401	126361.7121	1024650.456	536311.8309	392064.7995	326108.7404	364959.684	508828.231	205752.8396	244252.5565	312188.9346	692969.7254	308732.8304	503018.3308	737450.8231	345310.3862	366356.6108	249588.4342	492538.3524	754325.7683	624376.7828	586195.6858	468161.3336	724729.7857	661251.0013	292580.5803	179884.6349	514860.7573	4558072.272	570196.6727	439877.78	513653.3071	339246.5545	422905.7252	331204.899	367160.8907	1182480.239	264922.4148	425791.4619	309639.6343	637126.9433	309137.9407	388286.0528	863177.1179	543526.6954	260246.1753	276406.8162
