	KMV_362	KMV_364	KMV_370	KMV_372	KMV_373	KMV_375	KMV_377	KMV_380	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_401	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_415	KMV_416	KMV_417	KMV_418	KMV_421	KMV_424	KMV_425	KMV_428	KMV_429	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_456	KMV_457
Faecalibacterium_prausnitzii	2233303.063	7735878.818	1767706.38	4220299.207	7087895.279	1870422.014	1596521.625	3968547.22	399863.6515	4466462.295	3745730.261	5773350.616	6093734.202	2818910.704	12076432.71	6254957.243	3058523.618	2048273.268	5741287.225	5333236.757	4669372.698	6216593.574	4478107.96	3178166.443	2559906.286	5424831.526	1633830.198	4109763.554	4877442.415	1436197.914	1437432.019	1730727.18	10679533.19	4903456.873	4377110.098	3722330.812	2217880.053	4912460.328	5769544.501	6042893.746	13296892.58	4887279.267	6480096.516	5992609.448	8577513.493	4444541.691	3924194.705	1685810.842
Blautia_wexlerae	2855428.327	3794702.569	4672129.131	3675939.443	3132323.824	4660069.524	1744737.886	2047103.98	11937319.18	1776707.508	1666115.79	1848763.97	4586438.662	1654423.003	5154969.961	2526970.047	1918988.72	1875179.457	2076085.512	3178558.654	894911.9259	1541282.472	2815290.824	1371570.474	7135254.805	1416213.258	1882118.483	2049190.47	1243038.621	3848486.406	1866500.083	1279223.234	5330348.498	1451813.972	1345307.015	4338949.959	463583.5794	747163.793	2892046.719	2117644.036	1795742.513	3370981.222	1230991.338	3810360.654	2524014.926	1226218.104	5317485.271	7761665.218
Prevotella_copri	179316.3424	1310265.67	2569726.871	3876525.2	14951233.82	1216529.655	679157.5516	1130389.56	291723.1569	4632336.931	2127786.89	2976901.306	1248912.722	494301.0514	816844.8688	8691436.523	1944924.925	676857.2868	11009843.97	6317252.559	639237.1294	7663856.565	9208421.9	15511408.82	167729.8144	1653955.324	5263493.912	8916757.377	2600283.282	164251.2773	1382399.818	888578.4217	846444.7313	6053739.671	1833558.709	1399301.415	10264781.64	2242205.151	6369265	4421042.886	5621139.658	1015284.064	8108440.895	2173501.541	1859179.645	2827730.465	383491.1784	319429.7726
Dorea_longicatena	1999526.062	4128845.495	1544515.888	1437306.141	1718773.911	1684032.903	2042294.996	1632930.386	1842712.695	917187.9372	885652.4334	1869119.314	1638444.842	1454619.81	2261568.364	3383998.59	1012326.964	2995891.646	2746384.046	2186057.16	2051547.025	2272088.654	1210455.544	2773339.555	1432545.456	2118603.854	1034303.82	2502600.086	1781815.433	1105240.335	1364252.729	1674455.335	1623471.758	1400768.59	896620.0511	1228736.292	829533.2479	896820.7574	2014916.428	1320467.068	4271873.436	2103326.292	1493131.4	954507.7276	2325969.268	1009749.52	2546188.98	440666.2781
Collinsella_aerofaciens	1313838.511	1457159.568	1941559.11	825550.0393	1377549.819	962359.8727	927568.3726	2249541.856	647975.4998	539646.3845	537958.6291	2637059.131	1328273.924	856112.1692	5446954.283	1363552.46	791704.7712	349284.5334	1424809.724	2283083.61	1861158.634	2903732.432	1369093.623	992915.6087	1705339.91	331582.653	4650974.255	471132.388	1844043.677	1887517.472	633740.7935	1017956.494	3141832.669	2447312.669	1886882.899	2217571.663	2371632.755	869516.6726	1488201.569	512464.5812	847159.9557	1168554.044	2076590.077	1094386.048	1740027.482	517700.1665	1133151.546	1277381.536
Blautia_obeum	1923420.233	2516108.613	744122.5013	2762447.743	1202835.982	1123493.193	1096478.841	1190070.548	1202835.982	574218.9613	451979.1135	539015.6757	735289.5898	1213340.552	916633.7003	867967.7293	1381208.528	682679.0453	1555503.523	949616.6092	867066.0606	717513.2388	972626.9613	2653201.415	893423.7814	1115609.141	1651935.926	2982666.743	1145295.752	1138168.128	1436475.617	975479.1691	1521511.417	710805.4369	742953.2917	732117.9107	648571.9813	997200.3327	820658.0022	1081721.064	5628092.503	1324175.498	5612437.289	1684541.489	1423631.923	936595.2316	3106839.695	890169.1206
[Ruminococcus]_torques	465828.354	932376.7976	660721.9314	1578093.764	1567989.832	950020.5801	546689.0955	1742190.2	1921823.469	634145.2715	864736.8116	2525527.069	974244.0419	929541.5277	9509294.722	814086.5625	1163546.547	3676496.763	6962216.85	630659.8859	941505.5409	1542760.901	947000.3879	993090.2032	3000093.739	750740.792	1455561.959	540755.443	570320.5056	3259333.898	188917.5535	477249.1338	3922580.82	870756.1987	408264.5979	139730.6801	108886.9948	443112.8218	1165501.302	1078829.121	1027544.121	524804.6885	378504.6425	614513.5357	1531616.791	772952.4123	2484456.175	1357612.462
Anaerobutyricum_hallii	775549.5674	834846.1586	896014.5642	877757.5373	609553.3366	1193203.266	1321525.896	763887.8682	1053030.905	953782.1613	535668.0266	436030.3675	1085606.041	826814.0562	1338218.987	900228.0397	734104.4978	680868.4357	681479.5594	1467425.998	1275413.913	623841.1169	806166.8842	869681.5347	1207590.778	543297.6336	953025.8991	566594.648	495927.3169	1929329.511	847409.3367	530289.5125	1435801.565	815474.226	869681.5347	734382.5924	249659.2276	840318.4853	664838.229	971643.0213	2195071.991	814205.5068	157068.6646	389493.7299	1980796.546	683634.4191	1151204.116	1404162.618
Blautia_sp._SC05B48	744586.9345	448498.9286	517955.0293	1219082.678	311230.2175	232810.4687	495196.3443	287429.982	1265193.596	490009.9093	318623.1301	1218209.583	826507.7572	555421.5426	712175.0372	1037747.283	328319.1642	612441.2192	786376.1078	825202.7073	211789.597	195705.2629	230880.3494	895872.2634	766096.333	526736.1624	351746.6364	412726.8322	312386.9358	1325246.708	1089493.561	586073.3294	4291322.775	383943.1258	294581.6591	361214.9549	725102.9837	334320.1731	286549.9299	280184.4818	2228564.317	410844.2595	185341.9227	404243.4919	6940218.181	515112.615	2309373.68	884805.0185
Dorea_formicigenerans	320277.391	398957.9482	453505.9108	201520.2803	197324.3499	825832.4827	350064.6682	340493.0323	455351.1504	133151.9534	199168.2606	599117.3612	306469.5307	444980.2346	1019179.074	425916.9401	126361.7121	1024650.456	536311.8309	326108.7404	508828.231	205752.8396	244252.5565	312188.9346	692969.7254	308732.8304	345310.3862	366356.6108	249588.4342	492538.3524	624376.7828	468161.3336	724729.7857	292580.5803	179884.6349	439877.78	513653.3071	339246.5545	422905.7252	331204.899	1182480.239	264922.4148	425791.4619	309639.6343	637126.9433	309137.9407	863177.1179	543526.6954
