	KMV_362	KMV_364	KMV_370	KMV_372	KMV_373	KMV_375	KMV_377	KMV_380	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_401	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_415	KMV_416	KMV_417	KMV_418	KMV_421	KMV_424	KMV_425	KMV_428	KMV_429	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_456	KMV_457
m_30	0.398615448	-0.115787932	-0.406584379	-0.23579406	0.015763107	-0.856281479	-1.949633507	0.250461611	-1.265769698	0.153195482	0.000974363	0.124376992	-0.608720235	-0.893094684	0.234458537	0.562119891	-1.922251217	-0.874742571	-0.337134392	-0.425915244	-0.012747048	0.537266755	0.01112484	0.820305911	0.321707934	0.089074629	-0.018562285	-0.14746975	0.063359282	-1.034156422	-0.738526204	-1.016513074	-0.957644398	-0.850269881	-0.884211111	-1.920133767	0.347760713	-0.670957675	-0.982838146	0.434966319	0.420032135	-0.908465231	-0.132858072	-0.578826967	-0.180825723	-1.905569453	-2.009002539	-1.188837444
m_35	-0.382217526	-0.232898038	-0.635998555	-0.235530848	-0.46960392	-0.302803054	-0.276642482	-0.121410188	-0.255167557	-0.386135194	-1.267151836	-0.553735186	-0.253661914	-0.243104577	-0.325319549	-0.528721789	-0.204417375	-0.311694848	-0.61315499	-0.464207958	-0.22796035	-1.378914823	-0.404546801	-0.733814069	-0.294315054	-0.641736365	-0.544074268	-0.412702996	-0.71869894	-0.208181703	-0.22239095	-0.200812978	-0.213267977	-0.179779524	-0.150522312	-0.248629251	-0.545487563	-0.406211656	-0.137164059	-0.14811929	-0.08013634	-0.276974846	-0.401588957	0.102308173	-0.217881578	-0.260164421	-0.187066709	0.02197879
m_49	0.277973756	0.495332166	-0.26854789	0.391758274	0.307627217	-0.252506126	0.304103293	-0.716866724	0.84271985	-0.15368737	0.042431457	1.313323447	0.165111489	0.488456012	0.861023885	-0.372767341	0.247156852	0.28016495	1.363712437	0.058602173	0.529702701	0.10905676	0.213605999	0.627807934	0.359856487	0.798665681	0.537072302	0.540334575	-0.320521099	0.016731511	-0.04601901	0.28219722	0.617921252	0.25049838	0.126473527	0.341117007	1.370354494	-0.094706563	0.012429288	-0.055427022	-0.098972503	0.543086653	0.852362605	0.525170676	1.107126264	-0.502274942	0.093255517	0.336846534
m_50	0.229566349	-0.092971148	-0.778789866	0.425819262	-0.081221165	-0.343237174	-0.066495497	-0.516038535	0.390215688	-0.784063673	-1.069145511	-0.760107735	-0.053075611	-0.097577702	-0.386729809	-0.480907208	-0.03119077	0.529227224	-0.37749265	-0.316568969	0.539456038	0.240549384	0.120140155	-0.65260536	0.435985016	-0.051585183	-0.179717011	-0.762573803	-0.877788536	-0.638352503	-0.825035069	-0.250224699	-0.136423025	-0.435038289	-0.05255189	-0.406549937	0.264338942	-1.226401399	0.08799134	0.151924911	0.731690778	-0.293989272	0.015429047	-0.294616971	0.505103645	-0.952505032	0.483967102	0.143361801
m_54	-0.391924455	0.177449692	0.144293582	0.154724061	-1.075386286	0.113385587	0.18648628	0.137649704	-0.009118819	-0.978474432	-0.401909685	-0.696299181	-0.22587002	0.023632928	-0.181709846	-0.481729545	0.261386771	0.025966639	-1.755013767	0.078651101	0.226904966	-0.017445371	-0.381131981	-1.811258318	0.032973113	-0.549651064	0.220640415	-1.766248194	0.11777137	0.04158881	0.264029355	0.217217995	0.341040723	0.325944606	0.101869068	0.035166592	-0.197717972	-0.016179458	0.341621968	0.032021578	0.272115645	0.239727069	-0.09737152	0.159642409	-0.309622073	0.186740296	0.15468241	0.315496798
m_62	1.100659717	0.984622413	0.692509246	1.350401298	1.275892695	1.287925528	0.757858265	0.563334868	1.150071724	0.875283149	0.861411466	1.050267765	1.214607497	0.510961613	1.131023282	0.665740911	-0.104601592	1.129847267	1.568249093	0.563364322	0.554606023	0.747182253	1.052394296	1.60867254	0.639846427	1.342099583	1.169022708	2.548215255	0.566195424	0.886917684	0.634934469	0.343770128	1.052123447	-0.094185731	0.577413854	0.978770601	1.014935762	0.332453816	1.360213946	-0.197420308	0.839334495	0.545110818	-0.094556165	0.310222478	1.48575225	0.551620652	1.267633556	0.195242013
m_72	-0.194513992	-0.148816647	-0.444942249	-2.211395484	-0.533596047	-0.811299796	-0.123315175	-0.494622987	0.221865801	-1.162421217	-1.366858783	-2.1012607	0.361970781	-0.107553244	-2.27252764	-0.046561963	-0.196896721	-0.633545209	-1.342879037	0.134275221	-0.726285926	-1.233521014	-0.127113965	-0.397382401	-0.739678896	-0.097515573	-0.43284203	-0.630148654	-2.231277315	-0.480338263	-0.113735946	-0.4758601	-2.169931459	-0.519897957	-0.27256579	-0.745464941	0.138176643	-0.48223709	-0.665349171	-0.378266263	-0.955448718	0.03407187	-2.237321471	-0.128714825	-2.335190037	-0.842894291	0.194395717	-0.127334362
m_73	-0.291431907	-0.311714867	-0.874425932	-1.295107834	0.014460528	-0.19100252	-0.516417984	-0.753200142	-0.082569533	0.026983661	-1.276953903	-0.479488343	0.075137052	-0.450153706	-1.486575478	0.407971647	-0.615585641	-0.034258986	-0.258051578	-0.15552993	-0.289347113	-0.99483123	-0.055467372	0.390420964	-0.714921374	-0.08353348	-0.467590326	0.065267924	-0.877115574	-0.758495441	-0.457642697	-0.396514431	-2.0828436	-0.78126397	-0.576309801	-0.903599129	0.032420864	-0.898958085	-0.818854038	-0.358913363	-1.058733081	-0.197408932	-1.297461988	-0.286196935	-0.904926268	-1.029727541	-0.048473801	-0.378933611
m_74	-0.187806337	-0.243655362	-0.631901816	-1.348470835	-0.316784386	-0.230155851	-0.204889634	-0.535300523	0.19053123	-0.364898767	-2.061948205	-1.27621513	0.280819769	-0.163762163	-2.268699574	0.160541105	-0.322007031	-0.179942062	-0.900111441	0.252950399	-0.241598358	-0.932731645	-0.057898033	0.01784599	-0.515241066	0.058696089	-0.354863842	-0.177240959	-1.090312948	-0.629885903	-0.267501041	-0.386002553	-2.166102486	-0.568552977	-0.298556365	-0.825188966	0.156920054	-0.517234845	-0.67392017	-0.044512205	-0.883149498	-0.073365194	-2.233493044	-0.05026352	-1.632566195	-1.036707065	0.16447667	-0.02362625
m_75	0.124427004	-0.061543912	-0.32507594	-0.719209268	0.396562746	0.378466659	-0.019334641	-0.295784581	0.236769129	0.270410048	-1.572773376	-0.032467923	0.463402699	0.193585281	-1.08064279	0.841443739	0.131568858	0.366765277	0.204106988	0.380203523	0.216443754	-0.549197326	0.334795834	0.740848998	-0.226373944	0.42790909	-0.053547625	0.440002377	-0.424587955	-0.386850173	0.013135095	0.089442179	-1.67695643	-0.3081213	-0.011288576	-0.439094939	0.318796841	-0.439984477	-0.198631523	0.113015445	-0.536002034	0.134021666	-0.872861267	0.121814242	-0.508254283	-0.683790652	0.43746012	0.175088085
