full_name	short_name
Faecalibacterium_prausnitzii	F_prausnit
Blautia_wexlerae	B_wexlerae
Prevotella_copri	P_copri
Dorea_longicatena	D_longicat
Collinsella_aerofaciens	C_aerofaci
Blautia_obeum	B_obeum
[Ruminococcus]_torques	R_torques
Anaerobutyricum_hallii	A_hallii
Blautia_sp._SC05B48	B_SC05B48
Dorea_formicigenerans	D_formicig
Blautia_massiliensis	B_massilie
Streptococcus_salivarius	S_salivari
Faecalibacterium_sp._HTF-F	F_HTFF
Catenibacterium_mitsuokai	C_mitsuoka
Simiaoa_sunii	S_sunii
Faecalibacterium_sp._I3-3-33	F_I3333
Faecalibacterium_duncaniae	F_duncania
Lachnospira_eligens	L_eligens
Coprococcus_catus	C_catus
Faecalibacterium_sp._I4-1-79	F_I4179
Roseburia_intestinalis	R_intestin
Faecalibacterium_sp._I4-3-84	F_I4384
Ruminococcus_bovis	R_bovis
Anaerostipes_hadrus	A_hadrus
Coprococcus_comes	C_comes
Faecalibacterium_sp._IP-1-18	F_IP118
Phocaeicola_vulgatus	P_vulgatus
Faecalibacterium_sp._IP-3-29	F_IP329
Escherichia_coli	E_coli
Coprococcus_sp._ART55/1	C_ART551
Bacteroides_xylanisolvens	B_xylaniso
Faecalibacterium_sp._I3-3-89	F_I3389
Roseburia_hominis	Ros_homin
[Ruminococcus]_lactaris	R_lactaris
Faecalibacterium_sp._I2-3-92	F_I2392
Coprococcus_eutactus	C_eutactus
Turicibacter_bilis	T_bilis
Vescimonas_fastidiosa	V_fastidio
Vescimonas_coprocola	V_coprocol
Butyrivibrio_crossotus	B_crossotu
Bacteroides_thetaiotaomicron	B_thetaiot
[Ruminococcus]_gnavus	R_gnavus
Faecalibacillus_intestinalis	F_intestin
Bacteroides_sp._DH3716P	B_DH3716P
Romboutsia_ilealis	R_ilealis
Subdoligranulum_variabile	S_variabil
Ruminococcus_bicirculans	R_bicircul
Wujia_chipingensis	W_chipinge
Bacillus_subtilis	B_subtilis
Bacteroides_ovatus	B_ovatus
Roseburia_sp._NSJ-69	R_NSJ69
Streptococcus_infantarius	S_infantar
Haemophilus_parainfluenzae	H_parainfl
Alistipes_megaguti	A_megaguti
Veillonella_dispar	V_dispar
Butyricimonas_faecalis	B_faecalis
Phascolarctobacterium_sp._Marseille-Q4147	P_Marseill
Klebsiella_pneumoniae	K_pneumoni
Rothia_mucilaginosa	R_mucilagi
Clostridium_perfringens	C_perfring
Eggerthella_lenta	E_lenta
Phascolarctobacterium_succinatutens	P_succinat
Clostridioides_difficile	C_difficil
Prevotella_melaninogenica	P_melanino
Schaalia_odontolytica	S_odontoly
Bacteroides_uniformis	B_uniformi
Veillonella_parvula	V_parvula
Turicibacter_sp._H121	T_H121
Eubacterium_sp._MSJ-33	E_MSJ33
Prevotella_nigrescens	P_nigresce
Streptococcus_lutetiensis	S_lutetien
Gordonibacter_pamelaeae	G_pamelaea
Intestinimonas_butyriciproducens	I_butyrici
Eubacterium_ventriosum	E_ventrios
Streptococcus_sp._FDAARGOS_192	S_FDAARGOS
Prevotella_bryantii	P_bryantii
[Clostridium]_scindens	C_scindens
Weissella_confusa	W_confusa
Alistipes_finegoldii	A_finegold
Dysosmobacter_welbionis	D_welbioni
Streptococcus_agalactiae	S_agalacti
Turicibacter_sanguinis	T_sanguini
Phocaeicola_dorei	P_dorei
[Clostridium]_innocuum	C_innocuum
Ruthenibacterium_lactatiformans	R_lactatif
Bacteroides_fragilis	B_fragilis
Parabacteroides_distasonis	P_distason
Prevotella_intermedia	P_intermed
Bifidobacterium_adolescentis	B_adolesce
Caldibacillus_thermoamylovorans	C_thermoam
Ligilactobacillus_ruminis	L_ruminis
Faecalitalea_cylindroides	F_cylindro
Sarcina_sp._JB2	S_JB2
Enterococcus_faecium	E_faecium
Prevotella_dentalis	P_dentalis
Flavonifractor_plautii	F_plautii
Dialister_hominis	D_hominis
Wansuia_hejianensis	W_hejianen
Actinomyces_naeslundii	A_naeslund
Alistipes_shahii	A_shahii
Streptococcus_sp._HSISS1	S_HSISS1
Veillonella_sp._S12025-13	V_S1202513
Veillonella_atypica	V_atypica
Clostridium_sp._M62/1	C_M621
Terrisporobacter_hibernicus	T_hibernic
Actinomyces_oris	A_oris
Bacteroides_stercoris	B_stercori
Streptococcus_thermophilus	S_thermoph
Streptococcus_parasanguinis	S_parasang
Odoribacter_splanchnicus	O_splanchn
Gordonibacter_urolithinfaciens	G_urolithi
Veillonella_rogosae	V_rogosae
Streptococcus_oralis	S_oralis
Bacteroides_nordii	B_nordii
Streptococcus_gordonii	S_gordonii
Faecalicatena_sp._Marseille-Q4148	F_Marseill
Blautia_argi	B_argi
Dialister_succinatiphilus	D_succinat
Veillonella_nakazawae	V_nakazawa
Streptococcus_pasteurianus	S_pasteuri
Enterocloster_asparagiformis	E_asparagi
Eubacterium_hominis	E_hominis
Prevotella_jejuni	P_jejuni
Streptococcus_sanguinis	S_sanguini
Ruminococcus_champanellensis	R_champane
Oscillibacter_hominis	O_hominis
Bacteroides_faecis	B_faecis
Mogibacterium_diversum	M_diversum
Phocaeicola_coprophilus	P_coprophi
Lachnoclostridium_sp._YL32	L_YL32
Enterocloster_bolteae	E_bolteae
Bacteroides_sp._M10	B_M10
Parolsenella_massiliensis	P_massilie
Bacteroides_caccae	B_caccae
Pusillibacter_faecalis	P_faecalis
Weissella_cibaria	W_cibaria
Parolsenella_catena	P_catena
Streptococcus_sp._LPB0220	S_LPB0220
Monoglobus_pectinilyticus	M_pectinil
Clostridium_butyricum	C_butyricu
Blautia_hansenii	B_hansenii
Butyricicoccus_sp._GAM44	B_GAM44
Anaerotruncus_colihominis	A_colihomi
Actinomyces_sp._oral_taxon_414	A_414
Salmonella_enterica	S_enterica
Lactococcus_cremoris	L_cremoris
Streptococcus_sp._HSISM1	S_HSISM1
Streptococcus_suis	S_suis
Streptococcus_anginosus	S_anginosu
Thomasclavelia_ramosa	T_ramosa
Hoylesella_buccalis	H_buccalis
Prevotella_denticola	P_denticol
Porphyromonas_somerae	P_somerae
Lacrimispora_saccharolytica	L_saccharo
Streptococcus_gallolyticus	S_gallolyt
Romboutsia_sp._CE17	R_CE17
Arachnia_propionica	A_propioni
Bacteroides_zhangwenhongii	B_zhangwen
Streptococcus_sp._HSISS3	S_HSISS3
Parabacteroides_merdae	P_merdae
Dysosmobacter_sp._Marseille-Q4140	D_Marseill
Enterocloster_clostridioformis	E_clostrid
Prevotella_corporis	P_corporis
Streptococcus_equinus	S_equinus
Bifidobacterium_pseudocatenulatum	B_pseudoca
Klebsiella_quasipneumoniae	K_quasipne
Blautia_pseudococcoides	B_pseudoco
Longicatena_caecimuris	L_caecimur
Hungatella_hathewayi	H_hatheway
Oxalobacter_aliiformigenes	O_aliiform
Marvinbryantia_formatexigens	M_formatex
Christensenella_sp._Marseille-P3954	C_Marseill
Sodaliphilus_pleomorphus	S_pleomorp
Clostridium_isatidis	C_isatidis
Massilistercora_timonensis	M_timonens
Pseudobutyrivibrio_xylanivorans	P_xylanivo
Granulicatella_adiacens	G_adiacens
Enterococcus_faecalis	E_faecalis
Flintibacter_sp._KGMB00164	F_KGMB0016
Sellimonas_intestinalis	S_intestin
Bacillus_velezensis	B_velezens
Alistipes_senegalensis	A_senegale
Streptococcus_sp._A12	S_A12
Bifidobacterium_longum	B_longum
Actinomyces_sp._HMT_175	A_HMT175
Streptococcus_constellatus	S_constell
Actinomyces_sp._oral_taxon_169	A_169
Shigella_flexneri	S_flexneri
Clostridium_sp._SY8519	C_SY8519
Actinomyces_sp._oral_taxon_171	A_171
Enterococcus_lactis	E_lactis
Actinomyces_pacaensis	A_pacaensi
Pauljensenia_hongkongensis	P_hongkong
Blautia_producta	B_producta
Acidaminococcus_intestini	Aci_intest
Streptococcus_mutans	S_mutans
Streptococcus_parasuis	S_parasuis
Enterobacter_cloacae	E_cloacae
Prevotella_veroralis	P_verorali
Komagataeibacter_oboediens	K_oboedien
Porphyromonas_gingivalis	P_gingival
Streptococcus_sp._HSISS2	S_HSISS2
Clostridium_cadaveris	C_cadaveri
Campylobacter_jejuni	C_jejuni
Streptococcus_australis	S_australi
Qiania_dongpingensis	Q_dongping
Lachnoclostridium_phocaeense	L_phocaeen
Enterococcus_hirae	E_hirae
Amedibacterium_intestinale	Ame_intest
Clostridium_botulinum	C_botulinu
Novisyntrophococcus_fermenticellae	N_fermenti
Streptococcus_mitis	S_mitis
Bifidobacterium_catenulatum	B_catenula
Bifidobacterium_breve	B_breve
Olsenella_sp._oral_taxon_807	O_807
Bulleidia_sp._zg-1006	B_zg1006
Phoenicibacter_congonensis	P_congonen
Streptococcus_cristatus	S_cristatu
Prevotella_multiformis	P_multifor
Olsenella_timonensis	O_timonens
Enterobacter_hormaechei	E_hormaech
Clostridium_bornimense	C_bornimen
[Clostridium]_hylemonae	C_hylemona
Collinsella_stercoris	C_stercori
Enterobacter_roggenkampii	E_roggenka
Klebsiella_variicola	K_variicol
Prevotella_sp._E13-3	P_E133
Clostridium_septicum	C_septicum
Butyrivibrio_fibrisolvens	B_fibrisol
Adlercreutzia_equolifaciens	A_equolifa
Streptococcus_macedonicus	S_macedoni
Streptococcus_pneumoniae	S_pneumoni
Streptococcus_vestibularis	S_vestibul
Candidatus_Nanosynbacter_sp._HMT-352	C_Nanosynb
Alistipes_indistinctus	A_indistin
Streptococcus_ilei	S_ilei
Mageeibacillus_indolicus	M_indolicu
Raoultibacter_timonensis	R_timonens
Blautia_liquoris	B_liquoris
Lachnoanaerobaculum_umeaense	L_umeaense
Lancefieldella_parvula	L_parvula
Bifidobacterium_angulatum	B_angulatu
Ruminococcus_albus	R_albus
Ruminococcus_gauvreauii	R_gauvreau
Desulfovibrio_piger	D_piger
Olsenella_uli	O_uli
Eubacterium_limosum	E_limosum
Romboutsia_hominis	Rom_homin
Streptococcus_sp._CNU_G2	S_CNUG2
Paraprevotella_xylaniphila	P_xylaniph
Intestinibaculum_porci	I_porci
Streptococcus_sp._CNU_G3	S_CNUG3
Streptococcus_sp._oral_taxon_061	S_61
Streptococcus_infantis	S_infantis
Streptococcus_sp._CNU_77-61	S_CNU7761
Akkermansia_muciniphila	A_muciniph
Christensenella_minuta	C_minuta
Faecalibaculum_rodentium	F_rodentiu
