	KMV_361	KMV_362	KMV_364	KMV_365	KMV_366	KMV_367	KMV_370	KMV_372	KMV_373	KMV_374	KMV_375	KMV_377	KMV_378	KMV_380	KMV_381	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_389	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_400	KMV_401	KMV_402	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_411	KMV_413	KMV_415	KMV_416	KMV_417	KMV_418	KMV_419	KMV_421	KMV_423	KMV_424	KMV_425	KMV_427	KMV_428	KMV_429	KMV_433	KMV_435	KMV_436	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_445	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_454	KMV_456	KMV_457	KMV_459	KMV_460
Otu000001	16.11921923	12.3459596	14.36413168	15.85685382	13.29891073	16.70299087	16.18975104	16.39723915	16.50709351	14.94102676	15.37201422	15.46427521	15.64234223	14.70693064	12.61029862	10.72562843	14.77916937	16.07171374	18.37651379	15.27833861	16.03599841	14.16218567	17.07281601	18.02648562	14.59913223	14.59894642	18.09280009	17.1522011	16.22823016	14.02181743	15.3505643	17.34227018	17.22305638	17.65752186	12.79057497	14.85633589	16.65591668	15.54483819	16.25602195	17.19951136	16.92275517	14.01737371	16.11974962	14.91716341	14.93041597	15.65622932	15.85344905	13.80238654	16.29461373	15.69933261	14.99888664	14.70625527	13.61211357	13.7808063	16.82124204	14.67705718	17.42027326	15.16315129	17.63772112	17.23757315	15.03547344	18.3780546	15.27541424	16.94354055	16.07342815	15.98668484	15.09802887	12.36294834	16.23118367	14.87831331
Otu000181	12.970303	10.52258153	6.04913827	11.43899172	7.594755238	13.3819906	15.1114567	17.09532892	12.53797251	0	13.13860684	13.14801366	11.72520237	9.680261836	5.249332964	8.450048032	12.82048976	14.86367813	8.301984212	14.1733282	14.53094004	8.331018702	12.35878772	14.64835828	12.07181564	11.76984527	15.15999624	12.76959369	14.42063746	10.70361524	13.142674	14.10336978	14.00328547	14.1605105	9.008480983	12.65632328	13.36532785	12.34574491	14.01511494	6.536623875	14.60685741	10.21726382	13.1191927	11.46391794	10.56477941	11.84152067	10.23568448	12.87971999	13.12888392	14.55450123	13.99483985	7.052421621	12.52574365	11.46566843	14.89437745	13.14991384	12.20505652	7.555331297	15.98364337	7.093742069	12.4009127	9.077164032	10.15493039	14.92944547	16.41445117	16.04079558	7.084827231	12.43784787	12.59050908	13.22289436
Otu000476	13.00243167	4.392317423	5.218466718	13.59888458	5.777318548	9.349560223	12.69606153	5.85575477	10.22714033	14.21551232	12.36598822	10.32598975	13.03957084	5.821596845	6.230242871	5.39319792	9.242343273	11.65971722	5.837433045	11.96904214	10.77239013	7.071706123	8.287145557	12.31621518	10.87084371	5.206648839	12.91779873	7.19430916	12.35629356	7.631387434	10.50670498	13.45842871	11.76256946	10.14762894	7.04265661	8.932519814	10.20705641	11.39777254	11.34966585	10.84771255	17.12789673	6.067795625	6.128572155	8.084764831	12.43333888	10.2978079	10.11794981	7.168493046	9.676647006	7.694558796	9.562179233	11.55697349	12.06958328	7.131342539	10.98639513	5.275597458	11.4180076	11.44172268	13.02227614	7.790113756	10.74484453	12.74621307	8.81966604	3.479267335	13.13725065	13.9564979	11.34248846	10.02666904	14.99299733	11.1143339
Otu000002	11.57990089	4.392317423	4.906193473	14.24681481	0	11.90188059	8.622997782	6.045282424	7.235541339	0	13.6151708	10.89419169	5.708243841	12.36977908	6.987842974	3.492674911	7.867637914	8.750497642	5.521798917	9.501559743	11.40050061	7.703117064	9.442136477	10.76631418	11.32294822	7.235541339	10.88480433	4.26166757	9.747497938	12.07250862	3.924517728	13.09551639	10.36102183	3.071660985	6.053557998	11.56309776	10.07492577	4.467720346	13.49582064	3.485952495	8.249249482	2.434371046	5.462819554	0	9.440846481	5.763765654	3.149587113	0	13.25486815	15.05276724	10.46986415	0	9.172947931	6.395748328	10.26735025	10.2539961	12.87851304	2.897552731	4.329717796	0	9.629991486	0	6.702068849	5.378828463	5.149046272	5.953628655	6.30403976	6.153307573	11.33557645	10.36853126
Otu000522	10.8107168	0	0	12.54654205	3.119739244	9.04582227	10.46261715	3.190627707	7.980122471	5.537747862	4.177440834	12.27540338	10.97877767	5.158749926	3.983204757	4.73557772	7.867637914	13.06003091	0	9.643725645	10.36808154	4.173563579	5.206648839	9.088019329	10.76838553	0	0	0	8.04235029	6.482773665	0	5.622809206	11.88407932	11.78116236	6.697714591	6.236113053	0	11.27605066	10.2902582	8.262670159	14.9401037	4.525218957	0	10.38485451	10.42841166	7.370203037	4.621878817	6.977279923	0	10.18497068	7.903343195	6.842632633	12.61051462	6.022367813	8.572244061	5.019992776	11.79759001	8.475079652	11.03817196	3.244061423	12.08751092	13.09630695	1.764720469	0	11.33717971	11.89170036	3.924517728	8.225186292	12.9853676	1.941447818
Otu000006	4.649407693	0	0	11.71599498	10.17348496	9.980388545	9.786306343	0	13.38715233	0	5.450717798	8.655258484	10.95412794	0	0	3.492674911	0	11.17586138	0	10.57851434	7.333650421	2.740240726	4.641089092	11.98384252	11.79839517	9.169550001	13.217719	14.30278819	0	4.818179987	0	7.04477095	5.634377382	13.50747808	3.37097252	11.4311479	10.46637538	4.866364719	3.953521681	9.907166595	10.24568907	6.67696672	0	6.374469421	3.576396577	9.673407235	5.810394522	11.27795155	3.277337944	11.33629197	6.33038269	3.697779146	3.988220085	10.04575966	9.870650125	7.567418017	0	7.555331297	0	0	12.40836013	0	9.83331862	0	0	9.676086077	6.237794763	7.069673528	9.660590206	8.918727741
Otu000009	8.055609125	11.82217246	9.413965125	8.181056667	9.875690289	9.287373505	8.050093209	8.581629263	9.763649713	7.683313658	9.017070113	7.537471646	10.32536312	9.808696091	9.382984205	7.123723492	8.630626934	8.613329054	9.29969681	11.75072382	9.779493817	8.543647023	11.22653838	6.959501133	7.464959616	7.718230355	7.790113756	6.371875625	10.2202806	9.108577794	9.443016999	10.02566464	8.9939278	7.290530895	12.75785534	8.778131448	9.299918531	8.492473841	8.184156655	8.908668333	8.738867485	6.958239698	7.638623159	8.431548981	9.911015361	9.79025798	8.887040671	7.86507042	10.06415697	9.899124493	8.09023513	14.83390765	6.495364681	9.91318862	6.040340464	8.92266387	8.131403069	10.72393613	9.638758708	9.389075287	9.286349068	8.795969049	11.41088724	10.04553794	9.376761605	10.0690076	8.760301176	9.725560595	6.658211483	9.202290819
Otu000008	10.56897481	11.77355135	7.325712814	2.838719093	10.80220565	12.1197651	0	0	6.765328287	0	0	7.697118665	0	6.138414029	4.537434131	7.274691739	9.967226259	4.055282436	0	4.48849709	4.023891876	14.94895307	0	5.249332964	7.08889565	0	0	0	0	10.26712904	0	6.128572155	6.858531201	8.142012482	0	7.447527285	0	0	3.953521681	8.983284482	3.201119623	4.21886991	6.296204214	8.883594778	0	8.306314905	3.149587113	5.198269627	0	7.216186204	2.930267379	0	5.388609515	6.778734244	4.846883286	2.865781896	0	4.744508356	6.015565977	11.77703934	4.416585363	3.277337944	5.464846882	5.191128124	0	0	7.228204647	8.869336793	5.415037499	10.39312227
Otu000004	10.51059737	2.584962501	10.11594834	4.494317136	4.034269902	11.90533525	7.888469636	0	0	0	0	3.569195185	10.89059557	2.989946335	0	0	4.600258688	7.497352893	0	6.439471625	9.606638309	9.1382718	0	0	10.87603984	4.951406876	9.173105407	6.014274131	7.665479483	2.963977331	4.477456875	8.622430562	2.439564301	10.29100011	0	3.211707326	0	0	4.345089145	8.188916791	0	14.61983088	0	6.224397117	5.482714298	2.444784843	12.97021773	0	7.983984947	0	6.986727367	2.804884553	0	12.4864831	10.26735025	11.27553524	3.97323309	8.57608809	0	0	8.282776021	13.60422587	0	0	0	9.697433794	0	0	6.398031074	7.009446935
Otu000003	10.33333051	0	6.334678121	0	0	0	10.81728012	0	6.186981576	0	9.564931147	10.49850237	10.32536312	11.23939963	0	0	0	9.307912302	0	9.517479415	10.70141229	10.34035591	2.804884553	6.808785458	8.119081324	6.186981576	11.08380607	0	8.04235029	5.603449728	8.153237585	11.09941583	9.66308575	0	8.955147427	11.10827064	9.338851625	7.284750801	9.725213933	11.64614539	12.88854677	6.159560196	9.154730829	11.87305955	10.58545001	11.13990658	12.13981065	0	3.277337944	0	9.033915218	0	9.664285356	9.55956829	9.516648476	6.370879282	0	11.80900309	12.20090056	3.244061423	10.62443738	0	12.03206307	0	0	2.827323338	0	7.986590572	11.89847543	10.33719108
