	KMV_361	KMV_362	KMV_364	KMV_365	KMV_366	KMV_367	KMV_370	KMV_372	KMV_373	KMV_374	KMV_375	KMV_377	KMV_378	KMV_380	KMV_381	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_389	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_400	KMV_401	KMV_402	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_411	KMV_413	KMV_415	KMV_416	KMV_417	KMV_418	KMV_419	KMV_421	KMV_423	KMV_424	KMV_425	KMV_427	KMV_428	KMV_429	KMV_433	KMV_435	KMV_436	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_445	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_454	KMV_456	KMV_457	KMV_459	KMV_460
Otu000001	5908	1041	2910	19287	1310	23257	13305	10616	15554	1384	9923	4159	5984	3851	844	330	1209	8816	30288	14823	8802	6453	23022	21627	3673	4144	32988	16022	7600	2445	5891	24094	34575	27911	758	3589	11978	6788	16200	29500	15157	3764	8260	7549	5714	23238	7519	800	9244	17292	4944	4464	3368	8796	12506	4165	11927	5687	32017	18235	13198	39178	16538	24830	7999	10649	9890	1501	9231	10601
Otu000181	666	294	9	902	25	2327	6301	17223	993	0	2110	835	396	118	5	68	311	3816	28	6891	3101	113	877	2080	637	583	4320	768	2171	245	1275	2552	3711	2472	55	781	1224	739	3427	18	3044	270	1032	689	277	1651	153	422	1030	7820	2465	22	1586	1767	3289	1445	321	29	10173	16	2125	62	475	6147	10132	11056	38	1581	740	3365
Otu000476	681	4	5	4032	7	142	1181	7	200	837	1235	118	985	8	10	8	26	414	5	1495	229	47	52	413	277	6	913	16	519	29	205	1632	785	153	14	59	137	383	540	361	17473	15	8	66	1012	566	141	8	94	67	114	503	1156	87	219	6	186	431	1306	26	674	790	188	2	1045	2607	732	297	3913	780
Otu000002	254	4	4	6318	0	834	70	8	25	0	2936	175	6	762	17	2	10	55	4	270	354	73	116	141	379	25	223	2	85	633	2	1269	297	1	7	366	125	3	2391	2	37	1	5	0	127	24	1	0	1124	11046	214	0	155	52	133	194	512	1	3	0	311	0	43	8	4	10	22	20	310	465
Otu000522	149	0	0	1944	1	115	251	1	42	2	4	456	236	5	2	5	10	1093	0	298	173	6	6	44	258	0	0	0	26	13	0	7	854	475	11	9	0	352	259	60	3835	5	0	326	252	74	3	7	0	378	36	19	1682	40	41	5	242	55	330	1	1710	1007	1	0	300	623	4	85	973	1
Otu000006	2	0	0	1093	150	220	157	0	1789	0	10	37	232	0	0	2	0	296	0	570	21	2	4	328	527	96	1124	2223	0	4	0	19	11	1572	1	334	164	4	3	188	148	23	0	20	2	367	7	139	1	840	12	2	4	660	101	30	0	29	0	0	2136	0	380	0	0	134	21	38	97	170
Otu000009	22	724	94	94	122	136	47	47	145	9	121	17	150	129	90	27	17	50	56	1285	115	131	400	10	26	35	26	9	118	81	98	151	115	21	741	53	73	51	60	94	52	28	23	84	176	398	60	13	123	310	41	4877	24	602	7	77	19	262	125	79	245	51	1135	208	77	176	122	241	12	207
Otu000008	126	700	22	2	232	970	0	0	18	0	0	19	0	10	3	30	43	2	0	8	2	11133	0	3	20	0	0	0	0	181	0	10	26	38	0	21	0	0	3	99	1	4	9	115	0	142	1	2	0	48	1	0	11	68	3	1	0	4	10	414	8	1	18	7	0	0	42	133	5	473
Otu000004	121	1	153	7	2	836	42	0	0	0	0	1	222	1	0	0	1	23	0	32	102	198	0	0	278	5	68	7	20	1	3	57	1	169	0	1	0	0	4	57	0	5715	0	18	8	2	1019	0	29	0	19	1	0	3586	133	394	1	59	0	0	122	1432	0	0	0	136	0	0	10	45
Otu000003	107	0	11	0	0	0	321	0	12	0	177	133	150	348	0	0	0	81	0	273	218	456	1	9	41	12	256	0	26	7	40	318	183	0	53	267	75	22	175	628	925	16	66	915	281	1015	573	0	1	0	79	0	218	471	79	13	0	556	739	1	620	0	1746	0	0	1	0	72	458	455
Otu000011	0	0	0	0	122	0	882	0	205	0	0	0	1	0	0	0	14	0	0	902	10	1	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	117	0	1733	31	0	231	755	0	0	466	0	461	0	0	0	3700	0	0	1975	231	0	0	0	0	34	0	0
