sample_id	KMV_362	KMV_364	KMV_370	KMV_372	KMV_373	KMV_375	KMV_377	KMV_380	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_401	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_415	KMV_416	KMV_417	KMV_418	KMV_421	KMV_424	KMV_425	KMV_428	KMV_429	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_456	KMV_457
outcome	susceptible	susceptible	susceptible	susceptible	resistant	susceptible	susceptible	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	resistant	resistant	resistant	susceptible	susceptible	resistant	resistant	resistant	susceptible	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	susceptible	resistant	susceptible	susceptible	resistant	resistant	resistant	resistant	resistant	resistant	resistant
m_30	6886865	1955594	1035711	1364116	3229926	307730		1170034	124592	2570238	1682485	2425751	624000	281570	4637350	6081910		259195	993631	687502	2554844	7481824	3029804	16252260	4401531	2941823	1592443	1578065	2843783	172294	327702	185417	235244	240646	247178		8331201	352050	196952	5774859	7969289	210296	1835382	477691	2059179			138812
m_35	1140745	1493374	610695	1364943	1056393	1100648	1173660	496966	1276714	742408		509019	1413328	1257699	1277885	493399	1301312	947708	526265	629479	1556507		1163437	453726	1065567	546771	474845	856824	469719	1154105	1075510	1212970	1305856	1126858	1338748	1169639	1065269	647665	1380495	1508189	2519133	900164	988543	2292357	1890768	1101414	1653853	2255507
m_49	5216508	7987278	1423230	5786336	6324944	1235792	4469800		15994882	1267916	1851008	37479404	3706947	6778558	19626155	706566	3680914	3702835	49896718	2097932	8908696	2791242	4829428	10433158	4805652	15073274	5723985	7690051	1174941	1937129	1614308	3688589	8852879	3034919	2533347	4547766	87760966	1326953	1948176	1867016	2412209	5948167	17739736	6069386	39961897	630725	3153691	4657061
m_50	4666298	2061083	439575	6258419	2583499	1002800	1904098	200308	5642569	296971	143163	316491	2243000	1758343	1109383	550824	1939135	6570473	905455	884342	9111030	3778245	3894304	547019	5726389	2127927	1098776	382843	325648	428622	268516	1082526	1558620	626052	1677526	813076	6875208	97985	2318410	3009539	16333461	865580	2582341	919088	9991334	223671	7754088	2982821
m_54	1115531	3841637	3682278	3352505	261844	2869704	3409346	902374	2249792	189803	665376	366581	1506728	2324418	1778695	549782	3803519	2062225		2197052	4436254	2085909	1227885		2263961	675913	2762273		3223358	2051237	3296361	3176004	4679549	3610716	2393813	2248266	2372624	1589947	4157391	2283477	5668956	2958173	1991650	2615872	1530727	3082161	3632838	4433658
m_55	1804594	51233	68231		136196				51239	97426					153633	303460			171624				148575	519371			22891	358865	104152				26750	36457			765178	50739			1256131		204991		95866			
m_62	34678942	24642743	13011646	52607380	58792532	42892074	12707001	2404760	32458834	13553798	12200800	20452057	41544390	7139091	36545560	7720777	1637560	26194896	79911381	6707390	9434469	12131737	33318389	99834441	9156769	52679482	24527252	783086794	9051751	14366293	7743546	4250433	24059507	1372344	7155418	19744753	38715303	3548264	43392318	1346340	20927721	5975955	2004603	3699956	95559107	7140616	47119121	3361301
m_72	1757487	1812383	948158		911661	341312	1670589	210433	3829367	124267	72130		5832781	1718415		1497470	1324043	451673	98057	2497264	494112	126829	2203818	984522	382135	1914372	613457	519333		616721	1381241	643877		514933	1010777	372577	5141899	543657	409119	887787	335690	1842334		1346664		287886	3980699	1599304
m_73	1405964	1245523	352693	118997	3220253	1423800	675720	116021	1899729	1922036	88720	603922	3013297	780778	88152	4264732	504909	1795190	1192087	1281325	1351339	219740	2599096	6039887	404552	1977008	566286	2575506	326153	325036	625695	772945		282088	502240	258870	4030582	208259	287306	928243	264639	1081154	125638	937081	388681	187235	2275568	896049
