	KMV_375MS_1	KMV_375MS_2	KMV_375MS_3	KMV_375MS_4	KMV_400FS_1	KMV_400FS_2	KMV_400FS_3	KMV_400FS_4	KMV_404MA_1	KMV_404MA_2	KMV_404MA_3	KMV_404MA_4	KMV_415FS_1	KMV_415FS_2	KMV_415FS_3	KMV_415FS_4	KMV_417FA_1	KMV_417FA_2	KMV_417FA_3	KMV_417FA_4	KMV_446MS_1	KMV_446MS_2	KMV_446MS_3	KMV_446MS_4	KMV_450FA_1	KMV_450FA_2	KMV_450FA_3	KMV_450FA_4	KMV_452MA_1	KMV_452MA_2	KMV_452MA_3	KMV_452MA_4
Faecalibacterium_prausnitzii	11.43906305	10.25627808	10.84112959	11.17272881	9.785199345	9.845580509	9.987847866	10.16881438	6.290047476	5.508678915	6.418079894	6.106726615	11.47503403	11.16850595	11.15020218	11.19114118	9.799258784	9.586401655	9.41432785	10.06887518	11.29345671	10.72273129	11.24871879	10.829819	11.61298365	11.64171816	11.44229532	11.38382654	10.70891875	11.19387332	8.891157665	11.56506778
Ruminococcus_sp._5139BFAA	9.674923265	9.507328277	8.614337156	9.330104602	8.131883068	8.287187319	8.173186807	9.23367136	8.554588852	5.517154015	5.679515464	5.263862118	8.570893612	8.897770226	8.513125399	8.848266181	8.856809615	8.357127725	8.287818564	8.65704732	5.027240995	5.465308054	0	5.425917932	8.549531372	8.265512998	8.230412419	8.449499083	6.899291973	7.762539663	7.452948223	7.760389281
Ruminococcus_sp._MarseilleP328	7.800281864	5.476686649	8.734035223	7.097773022	7.89669353	9.116898132	8.903335364	7.695573936	6.704053987	6.244869097	8.002070966	7.245340215	7.155423702	7.497952225	6.886699329	6.976652323	5.026525393	5.160741679	4.991740832	5.283007704	9.696195775	9.249789975	10.09452679	10.0211378	8.304381346	7.925313695	8.395140961	8.412030525	0	8.46169974	8.956610953	7.924320755
Blautia_obeum	8.392937346	7.75881107	7.222557274	7.731178695	7.928980471	7.691241317	8.194216922	8.7474348	10.79901257	6.187617564	5.348521929	5.069145007	8.848422318	9.06849881	8.948971872	8.773635711	8.555265166	8.075648818	8.179751327	8.286586495	4.979039439	0	0	8.434466605	7.82646486	7.422186838	7.569085277	8.461131908	0	6.733874943	6.287790742	6.389108778
Parabacteroides_distasonis	3.603171299	10.2552369	8.677433039	10.08217587	8.752223558	7.425806154	8.301476167	7.170118312	0	3.376903234	0	0	11.96672266	12.18545413	11.59027753	11.94785005	9.355083903	8.249348117	8.435642812	8.982035772	8.262978296	7.342245542	7.500955517	7.430549798	3.526859546	3.48855028	0	0	0	0	0	0
Blautia_sp._MarseilleP2398	8.742219601	8.347425965	7.282822244	8.174966614	7.677227759	7.871364313	7.834046364	8.768240662	5.301283164	0	0	0	6.989461216	6.413261965	6.676327294	6.179110631	7.824449382	7.31398794	7.226191656	7.591359528	0	0	0	0	7.822277306	7.497846572	7.468514858	8.086161267	0	6.835514181	6.373195506	6.746216114
Anaerostipes_hadrus	7.382463632	7.115273202	4.527979536	0	5.100649	5.533050393	5.14865005	5.022292231	7.596537034	5.786192491	6.585271405	0	8.072333043	7.99010637	7.893137265	8.013145494	7.299744081	6.752919712	6.724299054	7.490197314	6.158917006	7.297947485	4.283037172	7.839431676	7.232105301	6.887698871	6.674310807	7.33429437	0	8.027844646	7.830502467	8.114958791
Blautia_wexlerae	8.327662761	7.957955556	7.949469864	7.714848598	6.807877922	6.910484502	6.818850763	7.681683139	0	0	4.961195168	4.398967331	5.976496808	0	5.757777343	6.022523493	8.742688319	8.686198319	8.210530505	9.067293879	0	0	0	4.254583106	7.742531052	7.449665899	7.40561507	7.455559857	7.529010835	6.131134663	5.869740337	5.947011566
Dorea_longicatena	0	6.735904399	6.949994315	0	8.162557468	8.03812021	7.806996358	7.655525647	0	7.351252058	4.732402593	0	6.388863624	6.601391831	6.315297808	6.961507422	7.302324723	7.491324093	7.272769899	8.013812208	8.713208115	7.913515831	8.493336183	9.325314172	6.451428042	6.141412947	6.322771621	6.51674069	0	0	7.408121708	0
Blautia_massiliensis	7.037793836	6.854318401	7.651051691	0	8.107197157	7.507097786	7.786832296	7.759315772	5.849924687	6.071577448	5.814457673	5.224292553	6.745552232	7.05829618	7.096539943	8.497325984	8.155132224	7.78159271	7.606120415	8.31503688	5.062363884	6.239988435	4.952927672	6.335932702	5.904040358	5.851205141	5.981652294	7.169168674	0	10.28534192	10.42649891	10.77057114
Blautia_sp._MarseilleP3087	6.832307257	0	6.015889125	7.561522466	6.327592537	6.367132704	6.782282204	7.01099874	7.133022517	9.38857629	5.600218562	6.315703499	6.836023373	7.070482772	7.12660353	7.026017003	6.644039313	6.311546636	6.310761938	6.807451047	0	5.919709346	0	6.6084578	6.931359591	6.859293013	6.481337872	7.704229923	0	5.111607561	5.12717015	0
Blautia_sp._MarseilleP3387	4.560151956	0	4.346259071	0	4.73865812	5.207143337	5.204995321	4.584075213	10.5035264	10.64190251	12.21958825	11.35564986	6.58624638	6.790074474	7.541185107	7.246132974	4.251991446	5.998740754	5.117712116	5.656504908	8.161350248	7.021085768	7.1475215	5.425917932	7.660465107	7.468594493	7.656880425	7.630593393	0	8.020155208	8.642951537	7.662810224
Fusicatenibacter_saccharivorans	8.719889376	5.672425342	7.182442377	0	0	4.488236868	4.644899412	5.034834867	6.621141803	6.497038021	6.819198779	5.609313146	7.478570862	7.046005769	7.143505569	6.956423585	4.854327711	0	0	0	6.687378261	8.730021468	5.45914371	8.373949846	9.469427609	9.305141321	9.385493851	9.324392861	0	8.549790009	8.950545042	8.393279113
Gemmiger_formicilis	0	0	7.198175425	6.034991126	5.018306105	5.298548051	5.680793944	6.202510226	8.667706604	6.831993551	8.079641928	8.517897153	5.708243841	5.817585661	5.84302436	5.708554001	6.391178437	6.870239529	7.691200357	5.938365385	0	0	0	0	6.713522181	7.692125508	6.765766711	6.21165876	10.8473936	7.742117801	9.629260059	5.763363969
Blautia_sp._MC32	7.295849998	0	6.688761506	6.688633221	5.9595607	6.145013864	6.11646662	6.915882769	4.378382375	0	0	0	0	4.526466617	4.683781962	4.545882808	7.665155478	7.173937075	7.062299876	7.565542615	0	0	0	0	6.462233178	6.245421006	6.225270133	6.400718358	0	5.955203175	5.354194898	5.886050992
Butyricicoccus_sp._K4410MGS46	5.632649111	4.884080713	5.608264285	6.122486245	6.106293895	6.199390724	6.174057918	6.180101068	4.647793581	0	0	7.184782576	6.181523936	6.344674772	6.523310153	5.983071071	5.464647992	5.497051418	5.284046799	5.283007704	5.540392496	5.607603766	5.334788469	5.468637197	5.973659608	6.12786845	6.046520645	6.183846016	0	5.798607552	0	6.441833166
Butyricicoccus_sp._N15MGS46	5.286607637	4.351329011	5.302055322	5.83365077	5.988684687	6.199390724	5.831573471	6.006306176	4.691797695	0	0	7.099869939	5.722909676	5.817585661	5.962135221	5.500764618	5.60504323	5.529123318	5.316747914	5.305868914	5.498262838	5.410883688	5.398305548	5.265575677	5.745010823	5.859424149	5.728458281	5.894589	0	5.701947767	0	6.109899525
Ruminococcus_lactaris	6.953760403	6.253499923	5.233908646	5.244044009	5.505136482	5.570208734	5.530149152	5.756615009	0	0	0	0	7.094698037	7.021106307	7.302453157	7.106244799	6.232449682	7.027260502	6.518306563	6.900506382	0	0	0	0	0	0	0	6.165001769	0	0	0	6.418106123
Blautia_provencensis	6.486190031	0	6.353563362	5.629759839	6.298812737	5.798731355	6.000273868	6.330113128	0	0	0	0	7.965389647	7.470624965	7.534793415	7.338908779	7.634762418	7.450038904	7.162401449	7.865894815	0	0	0	0	5.556203508	5.207497308	5.030196487	4.849508373	0	5.486720087	4.971553824	5.295980497
