	KMV_375MS_1	KMV_375MS_2	KMV_375MS_3	KMV_375MS_4	KMV_400FS_1	KMV_400FS_2	KMV_400FS_3	KMV_400FS_4	KMV_404MA_1	KMV_404MA_2	KMV_404MA_3	KMV_404MA_4	KMV_415FS_1	KMV_415FS_2	KMV_415FS_3	KMV_415FS_4	KMV_417FA_1	KMV_417FA_2	KMV_417FA_3	KMV_417FA_4	KMV_446MS_1	KMV_446MS_2	KMV_446MS_3	KMV_446MS_4	KMV_450FA_1	KMV_450FA_2	KMV_450FA_3	KMV_450FA_4	KMV_452MA_1	KMV_452MA_2	KMV_452MA_3	KMV_452MA_4
Faecalibacterium_prausnitzii	9706	4155	8058	6754	2778	3043	3590	4053	199	166	185	196	5327	4070	5518	5331	3155	3025	3051	3451	9366	5163	8034	5632	9519	9685	9572	5663	2996	8439	1591	10680
Ruminococcus_sp._5139BFAA	2855	2471	1718	1881	881	1031	1018	2118	966	167	110	108	710	842	885	1049	1640	1288	1395	1295	118	132	0	130	1136	930	1030	739	212	779	585	761
Ruminococcus_sp._MarseilleP328	776	148	1867	398	748	1835	1691	727	266	279	559	435	265	318	285	285	112	137	138	122	3093	1858	3608	3214	958	734	1155	720	0	1267	1665	853
Blautia_obeum	1172	733	652	619	765	681	1033	1511	4587	268	87	94	861	948	1198	996	1330	1059	1294	1001	114	0	0	1068	687	517	650	745	0	380	259	292
Parabacteroides_distasonis	39	4152	1795	3170	1356	566	1113	504	0	35	0	0	7491	8238	7487	9009	2318	1195	1546	1623	1143	493	595	531	32	31	0	0	0	0	0	0
Blautia_sp._MarseilleP2398	1494	1104	680	843	642	772	804	1533	99	0	0	0	236	149	246	163	800	623	666	617	0	0	0	0	685	545	606	574	0	408	275	375
Anaerostipes_hadrus	580	468	97	0	105	150	122	111	496	202	208	0	502	448	575	587	555	421	469	575	263	478	61	706	454	356	348	340	0	937	761	974
Blautia_wexlerae	1120	842	1082	612	350	395	396	720	0	0	66	58	116	0	129	146	1515	1619	1322	1722	0	0	0	56	648	527	580	370	329	249	193	214
Dorea_longicatena	0	359	539	0	900	867	789	707	0	605	56	0	155	170	191	282	556	705	688	828	1563	734	1187	1983	263	211	272	192	0	0	567	0
Blautia_massiliensis	456	390	879	0	866	599	778	760	146	247	121	105	199	234	330	822	1007	863	868	1021	121	228	99	247	179	172	214	303	0	4494	4618	6156
