otu_id	KMV_375MS_1	KMV_375MS_2	KMV_375MS_3	KMV_375MS_4	KMV_400FS_1	KMV_400FS_2	KMV_400FS_3	KMV_400FS_4	KMV_404MA_1	KMV_404MA_2	KMV_404MA_3	KMV_404MA_4	KMV_415FS_1	KMV_415FS_2	KMV_415FS_3	KMV_415FS_4	KMV_417FA_1	KMV_417FA_2	KMV_417FA_3	KMV_417FA_4	KMV_446MS_1	KMV_446MS_2	KMV_446MS_3	KMV_446MS_4	KMV_450FA_1	KMV_450FA_2	KMV_450FA_3	KMV_450FA_4	KMV_452MA_1	KMV_452MA_2	KMV_452MA_3	KMV_452MA_4
eca82fb9da6b7e482c86e50ad684b280	9706	4155	8058	6754	2778	3043	3590	4053	199	166	185	196	5327	4070	5518	5331	3155	3025	3051	3451	9366	5163	8034	5632	9519	9685	9572	5663	2996	8439	1591	10680
cbc78f5d6ce16a0b7bc0c4212d7586eb	82	148	142	131	10076	10139	9219	8730	74	0	84	0	0	68	60	72	6721	4346	3475	4841	658	3442	524	3757	75	57	71	0	0	0	75	80
966e84c4b97330ee722e0a6ffad1d02b	39	4152	1795	3170	1356	566	1113	504	0	35	0	0	7491	8238	7487	9009	2318	1195	1546	1623	1143	493	595	531	32	31	0	0	0	0	0	0
0f27204232a0aeb2d3b19d411446eeb1	45	6919	3390	7906	7787	4883	7242	5895	42	0	0	0	44	46	49	53	97	76	79	86	891	6367	1162	77	39	42	41	0	0	0	44	0
0ad262b1cffb7df82b78c4a8e96af84a	0	0	0	69	3219	3816	2728	2860	0	0	0	0	0	0	0	0	993	1932	2523	3148	4791	4722	4168	5772	0	0	0	0	0	0	0	0
4bdc53ecc22f69d5d80ec445f807ccbe	79	0	85	0	81	119	127	81	3737	5953	10438	7560	178	194	450	344	64	248	151	159	1065	394	465	130	612	534	691	418	0	932	1339	711
3a02d98d5c6220ad96b14110cd317629	0	5916	2919	2856	2309	2053	2675	2259	0	0	0	0	68	70	81	69	1570	1260	1206	1260	2802	1192	1587	4366	0	57	0	0	0	0	0	0
30c715713d8b8378f83eaa8dec1e6e68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12531	6371	6125	7399
382973d5f654da7f3ec4070a0b931dd6	2855	2471	1718	1881	881	1031	1018	2118	966	167	110	108	710	842	885	1049	1640	1288	1395	1295	118	132	0	130	1136	930	1030	739	212	779	585	761
9dacc386c98b1988a528b35a0981e271	776	148	1867	398	748	1835	1691	727	266	279	559	435	265	318	285	285	112	137	138	122	3093	1858	3608	3214	958	734	1155	720	0	1267	1665	853
