otu_id	taxa
6faf3246757a63ecc7395ae0c6500641	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp DJFLS17;t__
e5eeb1589a9bd020844833c5f624b35d	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus italicus;t__
3dc76f3c7ca7f937d58c7efe31de63d9	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__Weissella sp Wikim SH004;t__
3da45fbfd597064bcde78fec0a7d8e95	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Okadaella;s__Okadaella gastrococcus;t__
acfc2d1d525654b00342bd9963fd0b4d	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__
155f5fd769824c3bb9f7a7ae88b73bc0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__
81e1742fdd321dff2858e3505af1bce4	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium faecale;t__
3dee55e0d28a74079ce9950e762d5bff	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium ruminantium;t__
7464cb2b587397a9bc3d0584d6cfc586	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Libanicoccus;s__Libanicoccus massiliensis;t__
f8e730543e1a2b190d85d07bf81b4e60	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp RS2;t__
e901d6c2db55a5a9478c4cd6601e85b1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus;s__Brevibacillus borstelensis;t__
28e25b8ac5269858fffe5323e827a44f	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis;t__
6821e27fc05544d63015dc849a2dcdd2	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus ruminis;t__
7d0f1ef013db3c51450a638c7a64a66c	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__Leuconostoc lactis;t__
5c88ebc8a888290273d0ff1c8895aae4	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__Weissella paramesenteroides;t__
ad8d30c15dfba58df9cd9e9fb4af4b41	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__Weissella salipiscis;t__
541a9e950d3b8391d3533ecaddf08cde	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__Weissella sp TL52;t__
e695614fa0d7fb50c5cdeb434343c3c1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;t__
0cd5e9206573c6df9dbfe215bd992382	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica;t__
e6a81a52ec255df7bcd973502922b3dd	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__Parasutterella excrementihominis;t__
0526ea3b622f9ed4c63e6e0085f3caee	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa;t__
5db444fc74bea80a80306734a01aced1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Massiliprevotella;s__Massiliprevotella massiliensis;t__
6a5bc641f2ece45aad99187b1f82f347	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp 2010IleoMSXXc;t__
4d3e135f9f23eac8b5692a8d53f3ac40	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XIII. Incertae Sedis;g__Congobacterium;s__Congobacterium massiliense;t__
e6d1f3c5a19b178da7ed5a2bbf9e02fc	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp HMSC078H12;t__
056034c7f9fe09d9c2dcbcaa2d4751f0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__Weissella confusa;t__
ebcbc98f0ae1865837b8291319c48c0a	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp MarseilleP2931;t__
e02372342b936cceed9a7cae20796b53	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella biformis;t__
ba6a24b73135955b8738560a4d584291	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia isoflavoniconvertens;t__
7a1aba6deff79e2d6463a7996774b60b	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella;s__Olsenella sp D6;t__
7e39d33a1a10518dfca918617317c0b5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium sp cL1013;t__
